2025-06-27 12:29:12,748 - ERROR - Database error: syntax error at or near "NOT"
LINE 2:         CREATE TRIGGER IF NOT EXISTS update_persons_updated_...
                                  ^

2025-06-27 12:29:12,749 - ERROR - Failed to initialize database: syntax error at or near "NOT"
LINE 2:         CREATE TRIGGER IF NOT EXISTS update_persons_updated_...
                                  ^

2025-06-27 12:47:28,111 - ERROR - Database error: syntax error at or near "NOT"
LINE 2:         CREATE TRIGGER IF NOT EXISTS update_persons_updated_...
                                  ^

2025-06-27 12:47:28,111 - ERROR - Failed to initialize database: syntax error at or near "NOT"
LINE 2:         CREATE TRIGGER IF NOT EXISTS update_persons_updated_...
                                  ^

2025-06-27 12:55:41,066 - INFO - Database initialized successfully
2025-06-27 12:57:48,407 - INFO - Database initialized successfully
2025-06-27 13:02:25,535 - INFO - Database initialized successfully
2025-06-27 13:02:55,785 - INFO - Database initialized successfully
2025-06-27 13:07:07,293 - INFO - Database initialized successfully
2025-06-27 13:07:54,186 - INFO - Database initialized successfully
2025-06-27 13:07:57,955 - INFO - ATTENDANCE | 2025-06-27 18:37:57 | Vinil | ID:1 | CONFIDENCE:0.58 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:13:25,994 - INFO - Database initialized successfully
2025-06-27 13:13:27,718 - INFO - ATTENDANCE | 2025-06-27 18:43:27 | Vinil | ID:1 | CONFIDENCE:0.49 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:13:36,840 - INFO - ATTENDANCE | 2025-06-27 18:43:36 | UN_KNOWN | ID:1 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:13:39,883 - INFO - ATTENDANCE | 2025-06-27 18:43:39 | Vinil | ID:2 | CONFIDENCE:0.62 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:13:49,690 - INFO - ATTENDANCE | 2025-06-27 18:43:49 | Vinil | ID:3 | CONFIDENCE:0.62 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:13:55,144 - INFO - ATTENDANCE | 2025-06-27 18:43:55 | melbin | ID:4 | CONFIDENCE:0.47 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:14:01,510 - INFO - ATTENDANCE | 2025-06-27 18:44:01 | UN_KNOWN | ID:5 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:14:03,486 - INFO - ATTENDANCE | 2025-06-27 18:44:03 | melbin | ID:5 | CONFIDENCE:0.44 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:14:15,192 - INFO - ATTENDANCE | 2025-06-27 18:44:15 | UN_KNOWN | ID:6 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:14:21,959 - INFO - ATTENDANCE | 2025-06-27 18:44:21 | melbin | ID:7 | CONFIDENCE:0.42 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:14:22,369 - INFO - ATTENDANCE | 2025-06-27 18:44:22 | UN_KNOWN | ID:7 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:14:27,783 - INFO - ATTENDANCE | 2025-06-27 18:44:27 | melbin | ID:8 | CONFIDENCE:0.45 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:14:28,610 - INFO - ATTENDANCE | 2025-06-27 18:44:28 | UN_KNOWN | ID:8 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:14:52,792 - INFO - ATTENDANCE | 2025-06-27 18:44:52 | UN_KNOWN | ID:9 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:16:16,677 - INFO - ATTENDANCE | 2025-06-27 18:46:16 | Vinil | ID:10 | CONFIDENCE:0.57 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:16:27,335 - INFO - ATTENDANCE | 2025-06-27 18:46:27 | UN_KNOWN | ID:10 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:16:38,900 - INFO - ATTENDANCE | 2025-06-27 18:46:38 | UN_KNOWN | ID:11 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:16:39,408 - INFO - ATTENDANCE | 2025-06-27 18:46:39 | Vinil | ID:11 | CONFIDENCE:0.46 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:16:59,348 - INFO - ATTENDANCE | 2025-06-27 18:46:59 | Vinil | ID:12 | CONFIDENCE:0.70 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:17:03,994 - INFO - ATTENDANCE | 2025-06-27 18:47:03 | UN_KNOWN | ID:12 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:17:20,782 - INFO - ATTENDANCE | 2025-06-27 18:47:20 | krish | ID:13 | CONFIDENCE:0.56 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:17:21,577 - INFO - ATTENDANCE | 2025-06-27 18:47:21 | Vinil | ID:14 | CONFIDENCE:0.50 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:17:21,988 - INFO - ATTENDANCE | 2025-06-27 18:47:21 | UN_KNOWN | ID:14 | CONFIDENCE:N/A | CAMERA:entry_01 | EVENT:login
2025-06-27 13:17:26,814 - INFO - ATTENDANCE | 2025-06-27 18:47:26 | Vinil | ID:15 | CONFIDENCE:0.64 | CAMERA:entry_01 | EVENT:login
2025-06-27 13:17:46,510 - INFO - ATTENDANCE | 2025-06-27 18:47:46 | Vinil | ID:16 | CONFIDENCE:0.65 | CAMERA:entry_01 | EVENT:login
